skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
100.json,-6.945546100000001,107.5830326,ChIJr9SG2LboaC4R1TA2d7h_IcQ,"Jl. Caringin No.103, Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia",Babakan Ciparay
101.json,-6.9163418,107.6335934,ChIJXyWHV8XnaC4RlIiZeM-B8Us,"Jl. Cianjur No.34, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
102.json,-6.9104484,107.6096004,ChIJQRnA1TnmaC4RVlLaADfG20c,"Jl. Aceh No.36, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
103.json,-6.9462177,107.5934753,ChIJ-fGmur_oaC4RyESpq8NK8So,"Jl. Soekarno Hatta No.205, Situsaeur, Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia",Bojongloa Kidul
104.json,-6.890670099999999,107.6252792,ChIJ-6m6kKvnaC4R9J99HYtKMKA,"Jl. Sadang Tengah No.4, Sekeloa, Coblong, Kota Bandung, Jawa Barat 40133, Indonesia",Coblong
105.json,-6.9087768,107.6138498,ChIJUSKiQDbmaC4R2QKHMe4drQQ,"Jl. Ambon No.1, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
106.json,-6.934989799999999,107.6263189,ChIJLatUYXzoaC4RSFSOazZcmMc,"Jl. Maskumambang No.4, Turangga, Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia",Lengkong
107.json,-6.9079425,107.6132741,ElFKbC4gU2VyYW0gTm8uMiwgQ2l0YXJ1bSwgQmFuZHVuZyBXZXRhbiwgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQwMTE1LCBJbmRvbmVzaWE,"Jl. Seram No.2, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
108.json,-6.877675099999999,107.5910415,ChIJK-zzHI7maC4RilLKeIDrP-M,"Jl. Sindang Sirna No.40, Gegerkalong, Sukasari, Kota Bandung, Jawa Barat 40151, Indonesia",Sukasari
109.json,-6.937995,107.6637609,ChIJweVClxzoaC4RB9VP5nt4iOQ,"Jl. Kawaluyaan No.2, Jatisari, Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia",Buahbatu
110.json,-6.937995,107.6637609,ChIJweVClxzoaC4RB9VP5nt4iOQ,"Jl. Kawaluyaan No.2, Jatisari, Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia",Buahbatu
111.json,-6.9163418,107.6335934,ChIJXyWHV8XnaC4RlIiZeM-B8Us,"Jl. Cianjur No.34, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
112.json,-6.897962,107.6096089,EldKbC4gVGFtYW4gU2FyaSBOby43NiwgTGIuIFNpbGl3YW5naSwgQ29ibG9uZywgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQwMTMyLCBJbmRvbmVzaWE,"Jl. Taman Sari No.76, Lb. Siliwangi, Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",Coblong
113.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
114.json,-6.9332804,107.6265282,ChIJVdFmNXroaC4RnlSsUYc6U3k,"Jl. R.A.A. Marta Negara No.4, Turangga, Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia",Lengkong
