skpdID,instansiID,kode,unitID,satker,nama,singkatan,alamat,telepon,email,isactive,isparent,isrup,created,createdip,createdby,updated,updatedip,updatedby
1,1,13,1.01.01.01,72006,Dinas Pendidikan,,Jl.A.Yani No. 239 Bandung,022 - 7106568,bep_bdg@yahoo.com,1,1,1,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
2,1,,1.01.01.02,72006,Bidang Pendidikan PAUD Dikmas,,,,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
3,1,,1.01.01.03,72006,Bidang P3TK,,,,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
4,1,,1.01.01.04,72006,Bidang PPSD,,,,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
5,1,29,1.01.01.06,72006,Sekolah Menengah Pertama Negeri 1 Bandung ,DINAS PENDIDIKAN,Jl. Kesatriaan No. 12,022 - 6011429,-,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
6,1,47,1.01.01.07,72006,Sekolah Menengah Pertama Negeri 2 Bandung,DINAS PENDIDIKAN,JL. Sumatra No. 42 Bandung,022 - 4204155,smpn6@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
7,1,96,1.01.01.08,72006,Sekolah Menengah Pertama Negeri 3 Bandung ,DINAS PENDIDIKAN,Jl. Raden Dewi Sartika No.96,022 - 5207378,smpn3bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
8,1,44,1.01.01.09,72006,Sekolah Menengah Pertama Negeri 4 Bandung  ,DINAS PENDIDIKAN,Jl. Samoja No. 5 Bandung,022 - 7312394,smpn4@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
9,1,117,1.01.01.10,72006,Sekolah Menengah Pertama Negeri 5 Bandung,DINAS PENDIDIKAN,Jl. Sumatera No.40,022 - 4207121,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
10,1,84,1.01.01.11,72006,Sekolah Menengah Pertama Negeri 6 Bandung ,DINAS PENDIDIKAN,Jl. H. Yakub No.36 Bandung,022 - 4203534,kandi_ken@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
11,1,48,1.01.01.12,72006,Sekolah Menengah Pertama Negeri 7 Bandung,DINAS PENDIDIKAN,Jl. Ambon No.23 Bandung,022 - 4233470,smpn7@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
12,1,118,1.01.01.13,72006,Sekolah Menengah Pertama Negeri 8 Bandung,DINAS PENDIDIKAN,Jl. Alun-Alun Utara No. 211 B,022 - 7800098,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
13,1,83,1.01.01.14,72006,Sekolah Menengah Pertama Negeri 9 Bandung,DINAS PENDIDIKAN,Jl. Semar No.5 Bandung,022 - 6014886,smpsalapanbandung@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
14,1,39,1.01.01.15,72006,Sekolah Menengah Pertama Negeri 10 Bandung ,DINAS PENDIDIKAN,Jl. Rd. Dewi Sartika 115 Bandung,022 - 5210133,smpn10@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
15,1,42,1.01.01.16,72006,Sekolah Menengah Pertama Negeri 11 Bandung,DINAS PENDIDIKAN,Jl. H.Samsudin No.34 Bandung,022 - 5200816,admin@smpnegeri11bandung.org ,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
16,1,99,1.01.01.17,72006,Sekolah Menengah Pertama Negeri 12 Bandung ,DINAS PENDIDIKAN,Jl. Dr. Setiabudhi No. 195 ,022 - 2013947 ,smpn12bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
17,1,119,1.01.01.18,72006,Sekolah Menengah Pertama Negeri 13 Bandung,DINAS PENDIDIKAN,Jl. Mutiara No.15 ,022 - 7305062 ,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
18,1,102,1.01.01.19,72006,Sekolah Menengah Pertama Negeri 14 Bandung ,DINAS PENDIDIKAN,Jl. Lapangan Supratman No. 8,022 - 7272064,smpn14@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
19,1,97,1.01.01.20,72006,Sekolah Menengah Pertama Negeri 15 Bandung  ,DINAS PENDIDIKAN,Jl. Setiabudi No. 89 ,022 - 2034914 ,smpn15bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
20,1,103,1.01.01.21,72006,Sekolah Menengah Pertama Negeri 16 Bandung ,DINAS PENDIDIKAN,Jl. P.H.H. Mustofa No. 53,022 - 7275281,smpn16@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
21,1,120,1.01.01.22,72006,Sekolah Menengah Pertama Negeri 17 Bandung,DINAS PENDIDIKAN,Jl. Pacuan Kuda Arcamanik,022 - 7275986 ,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
22,1,49,1.01.01.23,72006,Sekolah Menengah Pertama Negeri 18 Bandung  ,DINAS PENDIDIKAN,JL. Kiaracondong Bandung ,022 - 7566331,smpn18@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
23,1,50,1.01.01.24,72006,Sekolah Menengah Pertama Negeri 19 Bandung  ,DINAS PENDIDIKAN,JL. Sadang Luhur XI Bandung,022 - 2500657,smpn19@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
24,1,104,1.01.01.25,72006,Sekolah Menengah Pertama Negeri 20 Bandung ,DINAS PENDIDIKAN,"Jl. Centeh No, 5",022 - 7302884,smpn20@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
25,1,121,1.01.01.26,72006,Sekolah Menengah Pertama Negeri 21 Bandung,DINAS PENDIDIKAN,Jl. Caringin Gg. Lumbung II ,022-5402000 ,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
26,1,105,1.01.01.27,72006,Sekolah Menengah Pertama Negeri 22 Bandung ,DINAS PENDIDIKAN,Jl. Supratman No. 24,022-7271182,smpn22@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
27,1,106,1.01.01.28,72006,Sekolah Menengah Pertama Negeri 23 Bandung ,DINAS PENDIDIKAN,Jl. Arjuna No. 22,022-6011128,smpn23@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
28,1,94,1.01.01.29,72006,Sekolah Menengah Pertama Negeri 24 Bandung,DINAS PENDIDIKAN,Jl. Sukamulya No.33 Babakan Ciparay,022-6015090,smpn24bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
29,1,107,1.01.01.30,72006,Sekolah Menengah Pertama Negeri 25 Bandung ,DINAS PENDIDIKAN,Jl. Kelenteng No. 5,022-6010873,smpn25@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
30,1,91,1.01.01.31,72006,Sekolah Menengah Pertama Negeri 26 Bandung  ,DINAS PENDIDIKAN,Jl. Sarimanah Blok 23 Sarijadi Bandung,022-2012277 ,smpnegeri26bandung@gmail.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
31,1,122,1.01.01.32,72006,Sekolah Menengah Pertama Negeri 27 Bandung,DINAS PENDIDIKAN,Jl. Yudhawastu Pramuka I ,022-7101246 ,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
32,1,88,1.01.01.33,72006,Sekolah Menengah Pertama Negeri 28 Bandung,DINAS PENDIDIKAN,Jl. Solontongan II Bandung,022 7304544,smpnegeri28bdg@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
33,1,108,1.01.01.34,72006,Sekolah Menengah Pertama Negeri 29 Bandung ,DINAS PENDIDIKAN,Jl. Geger Arum No. 11 A,022-2012579,smpn29@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
34,1,95,1.01.01.35,72006,Sekolah Menengah Pertama Negeri 30 Bandung ,DINAS PENDIDIKAN,Jl. Sekejati No. 23 Bandung,022-7305150,smpn30bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
35,1,109,1.01.01.36,72006,Sekolah Menengah Pertama Negeri 31 Bandung ,DINAS PENDIDIKAN,Jl. Binong Jati No. 139,022-7305161,smpn31@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
36,1,100,1.01.01.37,72006,Sekolah Menengah Pertama Negeri 32 Bandung,DINAS PENDIDIKAN,Jl. Arjuna No. 18 Bandung,(022) 6072410,smpn3@bandung.go.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
37,1,110,1.01.01.38,72006,Sekolah Menengah Pertama Negeri 33 Bandung ,DINAS PENDIDIKAN,Jl. Babakan Tarogong,022-6035940,smpn33@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
38,1,123,1.01.01.39,72006,Sekolah Menengah Pertama Negeri 34 Bandung,DINAS PENDIDIKAN,Jl. Waas Soekarno Hatta ,022-7565790 ,,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
39,1,111,1.01.01.40,72006,Sekolah Menengah Pertama Negeri 35 Bandung ,DINAS PENDIDIKAN,Jl. Dago Pojok No. 756,022-6078507,smpn35@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
40,1,93,1.01.01.41,72006,Sekolah Menengah Pertama Negeri 36 Bandung ,DINAS PENDIDIKAN,Jl. Caringin ,022-6078507,infosmpn36_bandung@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
41,1,112,1.01.01.42,72006,Sekolah Menengah Pertama Negeri 37 Bandung ,DINAS PENDIDIKAN,Jl. Babakan Sari I Kiaracondong,022-7101104,smpn37@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
42,1,116,1.01.01.43,72006,Sekolah Menengah Pertama Negeri 38 Bandung,DINAS PENDIDIKAN,Jl. Borobudur Cibaduyut RT 03 RW 04 ,022 -5408978 ,smpn_38@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
43,1,43,1.01.01.44,72006,Sekolah Menengah Pertama Negeri 39 Bandung ,DINAS PENDIDIKAN,Jl. Holis No.439 ,022-5406684 ,smpn39@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
44,1,51,1.01.01.45,72006,Sekolah Menengah Pertama Negeri 40 Bandung ,DINAS PENDIDIKAN,Jl. Wastukencana No. 75 A ,022-4239058 ,email@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
45,1,85,1.01.01.46,72006,Sekolah Menengah Pertama Negeri 41 Bandung ,DINAS PENDIDIKAN,Jl. Arjuna No.18 Bandung,022-6015864,smpn41bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
46,1,87,1.01.01.47,72006,Sekolah Menengah Pertama Negeri 42 Bandung  ,DINAS PENDIDIKAN,JL. Manjah Lega Margacinta Bandung,022-7565864 ,smpnegeri42bdg@yahoo.co.id,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
47,1,82,1.01.01.48,72006,Sekolah Menengah Pertama Negeri 43 Bandung,DINAS PENDIDIKAN,Jl. Kautamaan Istri No.31,022-4234863,smpn43bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
48,1,113,1.01.01.49,72006,Sekolah Menengah Pertama Negeri 44 Bandung ,DINAS PENDIDIKAN,Jl. Cimanuk No. 1,022-4205409,smpn44@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
49,1,92,1.01.01.50,72006,Sekolah Menengah Pertama Negeri 45 Bandung ,DINAS PENDIDIKAN,Jl. Yogyakarta No. 1 Bandung,022-7277721,smpn45bdg@yahoo.com,1,0,0,0000-00-00 00:00:00,,,0000-00-00 00:00:00,,
